"name","dev-image","qa-image","uat-image","npd-image","prod-image","dev-replicas","qa-replicas","uat-replicas","npd-replicas","prod-replicas"
"payment-plan-event-orchestrator","snapshot:2025-01-27.503.a6b49df4","candidate:2025-01-27.503.a6b49df4","release:2025-01-27.503.a6b49df4","release:2025-01-27.503.a6b49df4","release:2025-01-27.503.a6b49df4","1","3","3","3","3"
"payment-plan-user-account-consumer",,,"release:2024-07-26.361.d1c6abc4","release:2024-07-26.361.d1c6abc4","release:2024-07-08.218.8c136c0a",,,"0","0","0"
"payment-plan-workflow-event-processor","snapshot:2025-01-27.503.a6b49df4","candidate:2025-01-27.503.a6b49df4","release:2025-01-27.503.a6b49df4","release:2025-01-27.503.a6b49df4","release:2025-01-27.503.a6b49df4","1","1","1","1","1"
"payment-reminder-api","snapshot:2025-02-17.133.ccd57071","candidate:2025-02-17.133.ccd57071","release:2025-02-17.133.ccd57071","release:2025-02-17.133.ccd57071","release:2025-01-28.132.087e1b22","1","1","3","5","5"
"payment-reminder-audit-processor","snapshot:2025-02-17.133.ccd57071","candidate:2025-02-17.133.ccd57071","release:2025-02-17.133.ccd57071","release:2025-02-17.133.ccd57071","release:2025-01-28.132.087e1b22","1","1","1","1","1"
"payment-reminder-event-processor","snapshot:2025-02-17.133.ccd57071","candidate:2025-02-17.133.ccd57071","release:2025-02-17.133.ccd57071","release:2025-02-17.133.ccd57071","release:2025-01-28.132.087e1b22","1","1","1","1","1"
"payment-user-account-consumer",,,"release:2024-07-26.35.984eb2f5","release:2024-07-26.35.984eb2f5","release:2024-07-16.32.e6b2c224",,,"0","0","0"
"phone-number-update-context-translator","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"preferences-api","snapshot:2024-07-30.39.62900763","candidate:2024-07-30.39.62900763","release:2024-07-30.39.62900763","release:2024-07-30.39.62900763","release:2024-07-30.39.62900763","1","1","1","1","1"
"premise-address-processor","snapshot:2025-02-24.166.ebeca8c4","candidate:2025-02-24.166.ebeca8c4","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","1","1","1","1","1"
"premise-api","snapshot:2025-02-24.166.ebeca8c4","candidate:2025-02-24.166.ebeca8c4","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","1","1","1","3","1"
"premise-meter-processor","snapshot:2025-02-24.166.ebeca8c4","candidate:2025-02-24.166.ebeca8c4","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","1","1","1","1","1"
"premise-processor","snapshot:2025-02-24.166.ebeca8c4","candidate:2025-02-24.166.ebeca8c4","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","1","1","1","1","1"
"premise-updated-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","3","3","3"
"premise-validator-processor","snapshot:2025-02-24.166.ebeca8c4","candidate:2025-02-24.166.ebeca8c4","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","release:2025-02-04.165.4b5f407b","1","1","1","1","1"
"price-usage-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"price-usage-service-processor","snapshot:2025-02-11.125.6884e945","candidate:2025-02-11.125.6884e945","release:2025-02-11.125.6884e945","release:2025-02-11.125.6884e945","release:2025-02-11.125.6884e945","1","1","1","1","1"
"recurring-pay-api","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","1","1","5","5"
"recurring-pay-audit-processor","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","1","1","1","1"
"recurring-pay-consumer","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","0","3","3","3"
"recurring-pay-consumer-v2",,"candidate:2024-08-28.13.e1fb961c",,,"release:2024-06-20.10.7c9cc276",,"0",,,"0"
"recurring-pay-context-translator","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","0"
"recurring-pay-enrollment-workflow-processor","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","1","1","1","0"
"recurring-pay-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","0","3","3","3"
"recurring-pay-event-builder-v2","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"recurring-pay-event-orchestrator","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","3","1","1","0"
"recurring-pay-event-processor","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","1","1","1","1"
"recurring-pay-reenroll-event-orchestrator","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","3","3","3","0"
"recurring-pay-reenrollment-workflow-processor","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","1","1","1","0"
"recurring-pay-unenrollment-workflow-processor","snapshot:2025-02-25.234.a6dafb4d","candidate:2025-02-25.234.a6dafb4d","release:2025-02-21.228.840efc7b","release:2025-02-21.228.840efc7b","release:2025-01-30.204.5e933782","1","1","1","1","0"
"recurring-pay-user-account-consumer",,,"release:2024-06-20.10.7c9cc276","release:2024-06-20.10.7c9cc276","release:2024-06-20.10.7c9cc276",,,"0","0","0"
"salesforce-adapter-api","snapshot:2024-07-26.14.7cd6998c","candidate:2024-07-26.14.7cd6998c","release:2024-07-26.14.7cd6998c","release:2024-07-26.14.7cd6998c",,"3","2","0","3",
"service-address-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"service-address-updated-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","3","3","3"
"service-order-api","snapshot:2025-02-19.424.f67fd7d3","candidate:2025-02-19.424.f67fd7d3","release:2025-02-19.424.f67fd7d3","release:2025-02-19.424.f67fd7d3","release:2025-02-11.417.39062094","1","1","1","3","5"
"service-order-derived-field-workflow-processor","snapshot:2025-02-19.424.f67fd7d3","candidate:2025-02-19.424.f67fd7d3","release:2025-02-19.424.f67fd7d3","release:2025-02-19.424.f67fd7d3","release:2025-02-11.417.39062094","1","1","1","1","1"
"service-order-eligibility-workflow-processor","snapshot:2024-07-29.115.74f61610","candidate:2024-07-29.115.74f61610","release:2024-07-29.115.74f61610","release:2024-07-29.115.74f61610","release:2024-07-29.115.74f61610","0","0","0","0","0"
"service-order-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"service-order-workflow-processor","snapshot:2025-02-19.424.f67fd7d3","candidate:2025-02-19.424.f67fd7d3","release:2025-02-19.424.f67fd7d3","release:2025-02-19.424.f67fd7d3","release:2025-02-11.417.39062094","1","1","1","1","1"
"service-point-info-event-builder","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","1","3","3","3"
"sf-account-balance-sync-context-translator","snapshot:2024-07-10.14.69ecb06d","candidate:20240405.152037","release:20240405.152037","release:20240405.152037","release:20240405.152037","0","1","0","0","0"
